id,year,std_math_score,l2std_math_score,l1std_math_score,l1std_ita_score,l3perc_math_score,l1perc_math_score,l2std_ita_score,l3std_math_score,l3std_ita_score,l3unempl_rate_chg,dummy_Calabria,turnout_ref_2016,avg_temperature_min,l3log_tot_income_chg,l1sd_math_score_chg,share_hsgraduates_2564,l1perc_ita_score_chg,l2perc_ita_score,l2perc_math_score,l2sd_math_score_chg,l3log_tot_income
1936,2019,-.27836534,-1.0401622,.17261435,-.92520428,40.975609,49.248341,-2.4847109,-1.4838902,-1.6100336,.093000002,0,.48523158,13.785724,.017755508,-.07829573,44.375,-1.4630384,55.069378,51.582417,-6.4049578,18.813789
1936,2020,-.38166186,.17261435,-.27836534,-.43175536,51.582417,57.153667,-1.1662794,-1.0401622,-2.4847109,-1.334,0,.48523158,13.785724,-.016534805,-4.5824351,44.375,7.5497437,52.542427,52.174686,-.07829573,18.831545
1937,2017,.2191937,-.82601231,.92815644,-.65970087,53.604126,59.285488,-1.2364999,-.54182643,-1.1344044,1.267,0,.52415907,12.788743,-.0082893372,-22.472715,51.6525,1.3396363,57.335117,60.590202,21.978157,19.725983
1937,2018,-.37205306,.92815644,.2191937,-.078478992,60.590202,58.270763,.23229767,-.82601231,-1.2364999,-.31200001,0,.52415907,12.788743,.0011177063,3.6021326,51.6525,-4.4596248,59.900604,54.544861,-22.472715,19.717693
1937,2019,-.99701881,.2191937,-.37205306,-.94381452,54.544861,49.147717,-.65970087,.92815644,.23229767,.47,0,.52415907,12.788743,.017210007,-8.0484209,51.6525,1.4918171,61.240238,59.285488,3.6021326,19.718811
1937,2020,-.89187813,-.37205306,-.99701881,-.48455262,59.285488,53.023403,-.078478992,.2191937,-.65970087,-.94700003,0,.52415907,12.788743,-.014989853,-1.7228951,51.6525,-.30050743,56.780617,58.270763,-8.0484209,19.736021
1942,2017,.10335279,-8.5202579,-.70234245,-.60137928,52.199753,50.150242,-1.9090778,-1.2022499,-1.9075857,1.6569999,0,.60287875,14.616762,.0040893555,-13.311731,52.445,32.181786,56.36628,58.851295,0,19.750418
1942,2018,1.1628169,-.70234245,.10335279,-.15013677,58.851295,57.643291,-6.2365756,-8.5202579,-1.9090778,-.83499998,0,.60287875,14.616762,.0029182434,-2.2879725,52.445,-4.5330224,28.571428,12.195122,-13.311731,19.754507
1942,2019,-.4364832,.10335279,1.1628169,.92331988,12.195122,59.312065,-.60137928,-.70234245,-6.2365756,.509,0,.60287875,14.616762,.0084686279,-2.6786222,52.445,11.264561,60.753216,50.150242,-2.2879725,19.757425
1942,2020,-.27707356,1.1628169,-.4364832,-.58889228,50.150242,55.9338,-.15013677,.10335279,-.60137928,-.51300001,0,.60287875,14.616762,-.0042552948,1.0880657,52.445,-9.5834818,56.220192,57.643291,-2.6786222,19.765894
1943,2017,.20028032,-1.5407864,.62368816,-.42886508,51.491875,59.060097,-1.2567158,-.11874646,-1.2639921,.70899999,0,.59491467,12.876099,.00020599365,.3208448,47.205002,3.2526624,58.011513,62.293392,-5.8480616,20.777174
1943,2018,.69744951,.62368816,.20028032,-.11620507,62.293392,57.501263,.24270561,-1.5407864,-1.2567158,-1.146,0,.59491467,12.876099,.0048732758,-3.4562564,47.205002,-5.7540903,59.814808,53.325062,.3208448,20.77738
1943,2019,.8205843,.20028032,.69744951,-.14553896,53.325062,53.337124,-.42886508,.62368816,.24270561,-.235,0,.59491467,12.876099,.0056476593,-2.4145575,47.205002,3.1218042,63.067467,59.060097,-3.4562564,20.782253
1943,2020,.071058251,.69744951,.8205843,.3691743,59.060097,63.008816,-.11620507,.20028032,-.42886508,-1.535,0,.59491467,12.876099,-.013216019,-5.744257,47.205002,1.9530696,57.313377,57.501263,-2.4145575,20.787901
1944,2017,-1.5740379,-2.6569271,.2449048,-1.4551138,48.124115,56.555138,-1.3567731,-1.8186561,-1.5739932,1.727,0,.46964225,13.085649,-.0028133392,-4.6134276,37.68,5.4751234,58.205376,56.59153,-4.484458,20.451818
1944,2018,.41741875,.2449048,-1.5740379,-2.5825622,56.59153,50.51638,-1.3514036,-2.6569271,-1.3567731,-.82200003,0,.46964225,13.085649,.010156631,4.3258853,37.68,-10.122929,52.854519,45.167633,-4.6134276,20.449005
1944,2019,.054198377,-1.5740379,.41741875,-.65327388,45.167633,51.023354,-1.4551138,.2449048,-1.3514036,.61299998,0,.46964225,13.085649,-.0051193237,-4.8220253,37.68,8.8486919,58.329643,56.555138,4.3258853,20.459162
1944,2020,-.72661322,.41741875,.054198377,.35362914,56.555138,59.018684,-2.5825622,-1.5740379,-1.4551138,-.87400001,0,.46964225,13.085649,.00074386597,-4.7881422,37.68,5.547061,48.206715,50.51638,-4.8220253,20.454042
