ID;Time;unempl_rate;ex_deaths;sh_susp;inc_pc;cigs;sh_pop_per;sh_short_term_contracts;dep_ratio;terf2020;avg_download_speed_dic2018;share_households_nointernet;share_ind_upto10k_2019;share_ind_above75k_2019;pop_2019;share_unigraduates_3034;avg_price_house_2019;share_amount_upto26k_2019;exp_games_pc_2019;dummy_sll_b_turistico;gini_index2019
1827;2020;0.2186;-27.472509;0.52334088;8921.4248;0;0.13187191;0.3166329;0.54465568;-1.7502909;61.574379;0.18813309;0.56867886;0.005150913;19765;24.285;545.69446;0.6831001;844.76306;0;0.41684178
1828;2020;0.18719999;9.6271019;0.44008198;12471.887;0.00028885;0.67349732;0.31747466;0.55304915;-1.3606232;79.715866;0.19241673;0.43896517;0.007384646;33064;26.566;621.71667;0.61184275;1459.6864;0;0.40793854
1829;2020;0.1609;-18.662682;0.38410193;8981.6689;0;1;0.52242959;0.53148031;-0.62152159;62.216198;0.041402213;0.56701905;0.005073996;7121;24.825001;438.41669;0.69737619;1037.4791;0;0.38669309
1830;2020;0.20979999;0.66186506;0.45639122;10135.37;6.09125E-05;0.34400988;0.35166404;0.52851206;-0.77197528;69.26638;0.04046718;0.5055086;0.004926682;42532;17.872;497.13541;0.68881214;900.96667;0;0.40356955
1831;2020;0.1992;5.6138301;0.36109725;17373.418;0.001521994;0.014400628;0.17278749;0.54868871;-0.71114945;323.03918;0.14886869;0.34102744;0.01659544;209670;27.360834;640.07922;0.44453031;1656.2627;0;0.41850266
1832;2020;0.25319999;-3.3472476;0.41948768;12024.293;0.000352361;0.12643678;0.26509458;0.55541432;0.8174119;68.421547;0.17717868;0.47438017;0.006708799;17677;26.271999;532.20831;0.5627346;1037.6549;0;0.43041226
1833;2020;0.2802;22.494238;0.34953278;8050.0254;0.001092253;0.02743517;0.41317806;0.52776909;-0.22934039;66.096954;0.075990334;0.59969664;0.003539525;27869;16.571428;526.35419;0.71608198;1097.9155;0;0.42326501
1834;2020;0.15989999;2.6086352;0.40728024;8381.4775;0;0.66016674;0.51961595;0.56382757;0.7987048;67.607292;0.071214683;0.5489496;0.001470588;7229;19.122499;466.77084;0.77904451;687.89325;0;0.35931975
1835;2020;0.1608;14.056298;0.35556427;9853.9932;0.000375094;1;0.4200438;0.52961797;-1.4517975;52.091946;0.073644474;0.50325668;0.001340996;8511;24.66;542.16669;0.71120143;817.20081;0;0.38414893
1836;2020;0.1899;-13.278592;0.44442815;10438.433;0.000410509;0.16098566;0.35997993;0.5116508;-0.66045958;66.838089;0.040904466;0.50961536;0.006175018;17972;23.033333;490.54166;0.64828598;1239.644;0;0.41642776
1837;2020;0.1998;6.1009569;0.39455974;9758.7979;0;0.4361853;0.34827402;0.55787021;-1.3116465;63.752171;0.020817118;0.54183805;0.004963835;25297;24.224285;525.53571;0.64901233;1271.4888;0;0.41923457
1838;2020;0.2492;10.06859;0.36060357;12570.41;0.000465721;0.04090856;0.22163925;0.49386513;-1.5001714;95.377609;0.080709085;0.46668658;0.010396975;114894;22.549999;595.76392;0.55957234;1433.9893;0;0.44408542
1839;2020;0.19049999;0.3801437;0.40384683;8156.5269;0;1;0.50222009;0.59885389;-0.11035294;106.19817;0.019608151;0.57966506;0.003110048;6575;22.025;502.5;0.74304038;386.47614;0;0.3773264
