ID,Time,unempl_rate,excess_deaths,sh_susp_activ,income_pc,share_firms_stws,sh_pop_per,sh_short_term_contracts,dep_ratio,avg_download_speed,share_households_nointernet,pop,share_unigraduates_3034,avg_price_house,share_amount_upto26k,exp_games_pc,dummy_llm_tourism,gini_index
537,2020,.0482,-.28731272,.57043332,21443.059,.001460054,0,.10558701,.54973733,30.875877,.02933103,116115,24.34,1182.2202,.44318146,528.39282,0,.38689941
538,2020,.051199999,.99850911,.53464645,18903.1,.00170618,0,.12953946,.56749874,33.91254,.043899816,97988,24.086086,992.59601,.50401425,471.45425,0,.3772991
539,2020,.057399999,27.429852,.65421432,17222.797,.000574006,0,.12427095,.57072502,28.975595,.060523093,27160,23.191668,952.5,.56487477,506.67361,0,.37085849
540,2020,.0612,-3.4538991,.47236773,23281.137,.001333562,0,.12270923,.55592841,199.71777,.025911426,682058,26.698847,1183.0186,.37724516,624.58368,0,.42750764
541,2020,.0691,1.1901453,.49244025,16486.059,.00052788202,.16284291,.15226607,.59248853,56.037399,.05929482,85912,20.380833,1002.1962,.57314157,533.61505,0,.37588748
542,2020,.049000002,19.366199,.49479544,17044.32,.00087175,0,.15828072,.59634405,25.753185,.076879978,45204,21.149376,828.82813,.57218474,454.0618,0,.37711513
543,2020,.054699998,5.9686146,.43581843,20122.658,.001031798,0,.14045534,.56939763,53.975727,.035896186,85144,23.029375,867.47394,.46480247,699.38562,0,.37839127
601,2020,.079000004,-5.8820257,.62026119,19371.313,.0045548142,.002337079,.13729981,.60667223,39.823212,.11756486,44094,26.583334,710.16205,.48004287,650.82947,0,.37666658
602,2020,.073200002,-12.808579,.59849834,18241.178,.001189113,0,.17350188,.59058112,48.863327,.19382162,49363,22.105556,1219.6296,.50725353,852.11993,1,.39792857
603,2020,.062700003,-7.5354538,.47890699,19768.225,.0026641961,0,.150306,.62879562,43.933685,.12242282,82407,23.744772,926.14716,.46779764,683.06964,0,.37211201
604,2020,.052600004,-34.30088,.54197186,19822.139,.0023341109,0,.15265627,.58699435,9.562129,.190074,7190,27.030001,864,.45064348,969.09399,1,.38100928
605,2020,.055399999,5.3862991,.50138623,18342.246,.0022631111,.39879075,.14385545,.6389541,21.355562,.11164178,40758,21.713064,765.2688,.52092665,787.87817,0,.35376492
606,2020,.060500003,-4.3444657,.45862359,22059.531,.00247102,0,.13356809,.61467355,66.853004,.069222853,321606,26.557842,851.64587,.39794925,696.1767,0,.40422142
607,2020,.066,-2.2345159,.4669044,20263.057,.0029216041,0,.13427743,.63691622,75.919228,.070753321,66674,30.126667,977.12598,.43928036,814.72748,0,.38084787
608,2020,.069899999,.96308404,.52542818,20188.422,.0035175141,0,.15312527,.61330473,84.7491,.042596031,62728,27.63875,1025.1982,.47052011,884.37305,0,.35192379
609,2020,.060399998,5.0637951,.37055469,22871.641,.0026342489,0,.13219412,.65389824,283.34021,.013080818,231445,35.369999,1785.6439,.36499155,767.32666,0,.40213388
610,2020,.055300001,-5.0186172,.54471177,19145.236,.003374208,.047122672,.16071597,.62622583,53.383049,.17785174,46062,20.622499,629.375,.49333879,737.836,0,.36006278
611,2020,.056700002,-3.1138201,.56671631,21714.607,.002321125,0,.13847199,.58980459,67.764404,.085433304,268313,24.959999,831.81335,.42930412,626.9483,0,.38555375
701,2020,.082700007,18.078186,.51156747,17882.871,0,0,.16104677,.73163807,61.94326,.037209544,14429,22.712856,2762.2676,.47780651,1246.7477,1,.42623276
702,2020,.1081,31.351812,.38114166,19054.719,.00052094599,.028010773,.13138822,.62641931,94.414291,.086682178,57461,18.148518,1238.7382,.44234115,820.68811,0,.41210222
703,2020,.1147,16.583624,.46722108,17577.988,.00057971,.0084148776,.14051177,.64868402,90.067848,.034147594,80777,19.807142,1906.8114,.4778066,1091.4773,1,.44145766
704,2020,.1201,2.6951466,.48434648,15886.744,.000474203,0,.13438672,.62860721,76.24987,.069768012,56168,19.824118,1637.8116,.52775657,1042.2896,1,.417916
705,2020,.084200002,11.086819,.50879979,17712.217,.001011782,.0059988098,.16202609,.63431108,64.605675,.066232435,61065,15.646956,1697.8977,.47333255,1070.8098,1,.43212366
706,2020,.086000003,12.468844,.37937993,19401.045,.001194743,.1329114,.11910301,.68165213,49.832134,.083253764,41718,21.6728,734.25037,.48460194,690.85504,0,.34638411
707,2020,.075599998,15.977989,.55263293,19372.162,.00049148803,0,.12486847,.68294829,87.473633,.02165132,50692,25.514286,2216.5547,.44643146,957.6601,1,.42520756
708,2020,.084100001,13.512625,.384195,22034.684,.00152501,.0056941742,.12523088,.68054467,130.38188,.040201072,122531,29.7925,2172.0615,.37927669,887.23102,0,.41145173
709,2020,.089799993,12.538644,.47671154,20752.58,.00050038501,.028914124,.1293745,.67786032,86.199768,.079928197,69833,21.777369,1349.8684,.40149453,868.32056,0,.42604968
710,2020,.093500003,19.98856,.32030684,22368.262,.001169013,.001885482,.13160972,.65691727,502.86551,.012514275,656212,22.651291,1358.4806,.35667941,936.78198,0,.42747262
711,2020,.079499997,20.365959,.50194925,22700.877,.000089569599,0,.14920406,.67801404,77.173714,.020374129,60325,30.86125,4023.4375,.35478386,932.46106,1,.45936155
712,2020,.075599998,9.7812147,.5214287,19717.537,.00090706698,.072802275,.13465837,.69968396,82.705032,.12552182,34085,24.224445,2063.4568,.4490819,841.15698,0,.39407766
713,2020,.102,18.825954,.43927756,20530.885,.001088724,.0034556789,.12632908,.6317507,91.803078,.059290022,228966,22.80138,1443.1639,.41773263,1063.451,0,.39096621
801,2020,.0506,63.522812,.42832762,19886.92,.000520678,.044207681,.14631809,.60005939,48.583893,.14813119,37661,21.154242,927.72729,.48592463,654.70941,0,.38519958
802,2020,.0559,57.270035,.47503117,20738.605,.001265594,0,.14010225,.60238749,55.412048,.20486827,53208,23.566668,992.88196,.43388194,773.27606,0,.39777425
803,2020,.052699998,60.202961,.43361658,23037.73,.0013661199,.042771358,.13150306,.59917545,95.51265,.093787275,188729,26.7612,987.26666,.38430625,809.29535,0,.40912643
804,2020,.049400002,30.588123,.45115113,17155.156,.00073336798,.11308647,.12612996,.75145096,9.1672211,.40923637,18900,18.56875,396.08075,.50600106,606.10638,0,.40284851
805,2020,.052900001,52.23217,.44513711,21818.43,.001151389,.013595207,.14462206,.60361058,94.643845,.11555917,73986,21.981112,776.60187,.42844412,725.27991,0,.38321066
806,2020,.050799999,67.345833,.30755302,22052.604,.00016952,.23640426,.11832995,.61707205,36.305653,.32010591,25054,17.274286,555.9881,.40267405,588.14197,0,.39027897
